ID,X_Coordinate,Area,Equivalent_Diameter
1,356,753,11.30061253781246
2,379,442,8.657961119211262
3,401,648,10.483154813468303
4,450,2625,21.09935359591645
5,564,756,11.323101341225716
6,591,169,5.353623785489658
7,602,1185,14.176325345161205
8,639,921,12.497821328069824
9,692,2657,21.22756960983717
10,774,763,11.375402318575036
11,815,395,8.184705254148536
12,834,546,9.622785782216429
13,851,350,7.704394608840788
14,920,756,11.323101341225716
15,976,456,8.794009244555257
16,1024,783,11.523525774206377
17,1066,518,9.372800569057672
18,1104,1082,13.546220072078228
19,1144,385,8.080437235546633
20,1213,1041,13.28708952722509
21,1279,369,7.9107503582228835
22,1279,696,10.864484290825716
23,1322,1702,16.989643827379666
24,743,519,9.381843311700298
25,1395,2490,20.54963772770356
26,743,559,9.73666886794494
27,13294,452,8.75535407173531
28,815,395,8.184705254148536
29,891,426,8.499811530515775
30,1267,45,2.7625538562264524
31,1280,366,7.878527208572681
32,1350,301,7.1447616341143325
33,490,381,8.038351338784418
34,1166,167,5.321851256905344
35,1423,161,5.225374655736956
36,461,126,4.622636765304473
37,512,598,10.070594021444464
38,330,1207,14.307314754598496
39,784,1428,15.562114279815544
40,895,340,7.5935342304527
41,730,419,8.429688139457722
42,946,856,12.048732953321236
43,1018,1568,16.307129709839582
44,655,25,2.0590860713421764
45,1211,346,7.660242986802948
46,547,853,12.027600988000293
47,730,1649,16.723024434262054
48,1203,1047,13.325325835126945
49,1324,829,11.857189527679738
50,946,276,6.841621398405261
51,1095,549,9.649185792818484
52,547,1098,13.646009414061684
53,351,614,10.204428383414625
54,543,2501,20.594978473829578
55,710,40,2.604560753507695
56,795,385,8.080437235546633
57,1098,3656,24.900472607770503
58,763,1049,13.338046912806885
59,1149,664,10.61178729199887
60,984,341,7.60469299360761
61,13407,478,9.003646693902157
62,1170,662,10.595793632130302
63,14652,455,8.784361398266553
64,958,460,8.832495245693291
65,351,848,11.99229829668636
66,543,402,8.256909471652294
67,557,75,3.5664416927220435
68,1308,521,9.399902699561908
69,1052,249,6.498366031087027
70,1098,295,7.073192935337281
71,11436,410,8.338663044325743
72,971,1518,16.04502441491262
73,947,374,7.964165889781714
74,1412,329,7.46968771177289
75,16691,476,8.984790868611222
76,819,531,9.48968413283126
77,477,598,10.070594021444464
78,1238,511,9.309255425733742
79,1378,1329,15.012982797539776
80,12900,331,7.492357529332575
81,1412,329,7.46968771177289
82,612,3048,22.7358909648577
83,1258,1331,15.024275001315733
84,1191,67,3.370869176316927
85,12368,800,11.64794979274256
86,15099,367,7.88928288212483
87,412,253,6.550353787839022
88,380,236,6.326456088554174
89,958,502,9.226911499512868
90,840,844,11.963981141945824
91,847,917,12.47065211913498
92,620,362,7.835356871537427
93,1433,1432,15.583894716338085
94,1308,358,7.791947358169042
95,976,456,8.794009244555257
96,8851,381,8.038351338784418
97,1062,414,8.379240719699794
98,1291,392,8.153564854919791
99,1363,574,9.866439170923083
100,10365,884,12.244206037287508
101,971,2095,18.849355708951197
102,13249,536,9.534257812265643
103,1327,197,5.780130045220385
104,947,369,7.9107503582228835
105,1412,321,7.378311945673508
106,470,375,7.974806062715905
107,396,1533,16.12410337800708
108,783,2754,21.61157729281601
109,819,531,9.48968413283126
110,1349,25,2.0590860713421764
111,3167,383,8.05942175851797
112,1008,764,11.382854269795876
113,1406,368,7.900023912125563
114,1427,883,12.237278621718966
115,16329,364,7.8569716901796465
116,532,1897,17.93651900132642
117,612,270,6.766847334712811
118,388,111,4.3387635789966
119,1191,608,10.154447209200072
120,8934,90,3.9068411302615424
121,798,3244,23.455512100305757
122,1231,130,4.69543867341656
123,502,212,5.99614914834318
124,1112,617,10.229327391678371
125,1286,618,10.237613603965976
126,840,392,8.153564854919791
127,913,589,9.994524660184826
128,7510,1027,13.197440670559777
129,599,723,11.07321277636846
130,1040,497,9.180845752434996
131,622,240,6.3798448501727245
132,5482,735,11.164728487802268
133,448,653,10.523521365635306
134,1184,539,9.560902273564556
135,625,309,7.239086002531993
136,755,25,2.0590860713421764
137,1262,920,12.491034566055337
138,736,545,9.613969668792326
139,1113,168,5.337761161628797
140,1380,30,2.2556157782376034
141,869,1613,16.539473485636854
142,1114,2211,19.36416915663663
143,1327,100,4.118172142684353
144,665,617,10.229327391678371
145,1139,164,5.273833572148589
146,1204,843,11.956891374720582
147,396,736,11.172320959599729
148,783,737,11.179908275217608
149,7989,569,9.823372884284009
150,498,1049,13.338046912806885
151,1042,344,7.638071470006557
152,5871,1226,14.419484402312738
153,522,1346,15.108697514500648
154,1024,327,7.446948883635182
155,10272,26,2.0998640115881724
156,320,399,8.226042412312127
157,420,517,9.363749093678235
158,928,285,6.952274744342824
159,1161,782,11.516164849932933
160,556,398,8.215727621531164
161,1254,455,8.784361398266553
162,1293,333,7.514958960851494
163,1431,488,9.097339609374457
164,1217,1747,17.212777265443588
165,1227,397,8.205399864310227
166,469,1194,14.230057661638982
167,1004,491,9.1252598988849
168,454,994,12.983676577148994
169,976,383,8.05942175851797
170,1344,1330,15.018629960725214
171,12544,674,10.691396714663002
172,359,144,4.941806571221223
173,6198,249,6.498366031087027
174,1142,1098,13.646009414061684
175,16745,483,9.050614392319137
176,705,1217,14.366460582440968
177,2312,895,12.320150529972992
178,845,2986,22.503465200983904
179,664,1183,14.16435714940584
180,1034,458,8.81327325284193
181,348,422,8.459812195457866
182,379,557,9.71923524810839
183,625,645,10.458860099898088
184,752,1046,13.318960740025243
185,440,1775,17.350167632990477
186,500,2809,21.826312356227067
187,1284,437,8.608851471127544
188,487,1800,17.47192468911384
189,623,1656,16.75848143939959
190,1113,398,8.215727621531164
191,1078,405,8.287661568679358
192,1341,349,7.693380457950016
193,711,432,8.559460062532905
194,516,353,7.737342989853716
195,929,598,10.070594021444464
196,995,489,9.106655883817131
197,15382,473,8.956432699394115
198,1399,42,2.6688805808143985
199,614,543,9.59631314393831
200,1253,865,12.111907634314234
201,859,687,10.79401121659082
202,531,1011,13.094233294296398
